loseScore,drawScore,winScore,simulationTimes
-16,10,17,6900
-16,10,19,8800
-16,11,12,204800
-16,11,13,50800
-16,11,14,24100
-16,11,15,15300
-16,11,16,10700
-16,11,17,10600
-16,11,18,12400
-16,11,19,12300
-16,11,20,11700
-16,12,13,213900
-16,12,15,26800
-16,12,17,17000
-16,12,19,18500
-16,13,14,242600
-16,13,15,69000
-16,13,16,28300
-16,13,17,32400
-16,13,18,32100
-16,13,19,34200
-16,13,20,34200
-16,14,15,255700
-16,14,17,69000
-16,14,19,75900
-16,15,16,284800
-16,15,17,292700
-16,15,18,284100
-16,15,19,308600
-16,15,20,348900
-16,16,17,291700
-16,16,19,320700
-16,17,18,294700
-16,17,19,313600
-16,17,20,311100
-16,18,19,303700
-16,19,20,352600
-15,1,2,76600
-15,1,3,20800
-15,1,4,10000
-15,1,5,6400
-15,1,6,4200
-15,1,7,3200
-15,1,8,2800
-15,1,9,2200
-15,1,10,2000
-15,1,11,1800
-15,1,12,1500
-15,1,13,1400
-15,1,14,1200
-15,1,15,1200
-15,1,16,1400
-15,1,17,1300
-15,1,18,1500
-15,1,19,1500
-15,1,20,1600
-15,2,3,85100
-15,2,4,25500
-15,2,5,10800
-15,2,6,7100
-15,2,7,4900
-15,2,8,3600
-15,2,9,2900
-15,2,10,2500
-15,2,11,2000
-15,2,12,1800
-15,2,13,1700
-15,2,14,1600
-15,2,15,1300
-15,2,16,1500
-15,2,17,1500
-15,2,18,1600
-15,2,19,1800
-15,2,20,1800
-15,3,4,95700
-15,3,5,26100
-15,3,7,7600
-15,3,8,5300
-15,3,10,3200
-15,3,11,2600
-15,3,13,1900
-15,3,14,1700
-15,3,16,1700
-15,3,17,1800
-15,3,19,2000
-15,3,20,2000
-15,4,5,108400
-15,4,6,29200
-15,4,7,15300
-15,4,8,8200
-15,4,9,6400
-15,4,10,4700
-15,4,11,3400
-15,4,12,3100
-15,4,13,2400
-15,4,14,2200
-15,4,15,1900
-15,4,16,2000
-15,4,17,2200
-15,4,18,2100
-15,4,19,2300
-15,4,20,2600
-15,5,6,108100
-15,5,7,31800
-15,5,8,14900
-15,5,9,9300
-15,5,11,5000
-15,5,12,3800
-15,5,13,3000
-15,5,14,2700
-15,5,16,2400
-15,5,17,2800
-15,5,18,2700
-15,5,19,3100
-15,6,7,133100
-15,6,8,35200
-15,6,10,10000
-15,6,11,6700
-15,6,13,4100
-15,6,14,3300
-15,6,16,3000
-15,6,17,3300
-15,6,19,3600
-15,6,20,3900
-15,7,8,133800
-15,7,9,36400
-15,7,10,17400
-15,7,11,11500
-15,7,12,7100
-15,7,13,5400
-15,7,14,4300
-15,7,15,3500
-15,7,16,3900
-15,7,17,3800
-15,7,18,4600
-15,7,19,4600
-15,7,20,4800
-15,8,9,155500
-15,8,10,39000
-15,8,11,19400
-15,8,12,12000
-15,8,13,7900
-15,8,14,6000
-15,8,15,4400
-15,8,16,5000
-15,8,17,5500
-15,8,18,5200
-15,8,19,5800
-15,8,20,6400
-15,9,10,168600
-15,9,11,42100
-15,9,13,12200
-15,9,14,8300
-15,9,16,7000
-15,9,17,6600
-15,9,19,7900
-15,9,20,8300
-15,10,11,164000
-15,10,12,48100
-15,10,13,22500
-15,10,14,13100
-15,10,16,10000
-15,10,17,10200
-15,10,18,10500
-15,10,19,10700
-15,11,12,189700
-15,11,13,48800
-15,11,14,23900
-15,11,15,13900
-15,11,16,15000
-15,11,17,16700
-15,11,18,16500
-15,11,19,18900
-15,11,20,17700
-15,12,13,211000
-15,12,14,57600
-15,12,16,28000
-15,12,17,27400
-15,12,19,32900
-15,12,20,31500
-15,13,14,215100
-15,13,15,60600
-15,13,16,62300
-15,13,17,67500
-15,13,18,77900
-15,13,19,73300
-15,13,20,75900
-15,14,15,226900
-15,14,16,268200
-15,14,17,272100
-15,14,18,278000
-15,14,19,306900
-15,14,20,302800
-15,15,16,242400
-15,15,17,260800
-15,15,19,296400
-15,16,17,273200
-15,16,18,286200
-15,16,19,282800
-15,16,20,299500
-15,17,18,291900
-15,17,19,77900
-15,17,20,77600
-15,18,19,309200
-15,18,20,78100
-15,19,20,303100
-14,1,2,66100
-14,1,3,17900
-14,1,4,9300
-14,1,5,5600
-14,1,6,4000
-14,1,7,3000
-14,1,8,2400
-14,1,9,2000
-14,1,10,2000
-14,1,11,1600
-14,1,12,1400
-14,1,13,1200
-14,1,14,1300
-14,1,15,1300
-14,1,16,1500
-14,1,17,1500
-14,1,18,1500
-14,1,19,1700
-14,1,20,1800
-14,2,3,82500
-14,2,5,10000
-14,2,7,4600
-14,2,9,2600
-14,2,11,2100
-14,2,13,1500
-14,2,15,1400
-14,2,17,1700
-14,2,19,2100
-14,3,4,90700
-14,3,5,23700
-14,3,6,11300
-14,3,7,6600
-14,3,8,4900
-14,3,9,3700
-14,3,10,3000
-14,3,11,2300
-14,3,12,2100
-14,3,13,1800
-14,3,14,1600
-14,3,15,1700
-14,3,16,1900
-14,3,17,2000
-14,3,18,2100
-14,3,19,2600
-14,3,20,2300
-14,4,5,105400
-14,4,7,12400
-14,4,9,5300
-14,4,11,3300
-14,4,13,2200
-14,4,15,2000
-14,4,17,2400
-14,4,19,2700
-14,5,6,100000
-14,5,7,26700
-14,5,8,13600
-14,5,9,8000
-14,5,10,5600
-14,5,11,4000
-14,5,12,3400
-14,5,13,2800
-14,5,14,2300
-14,5,15,2700
-14,5,16,3200
-14,5,17,3000
-14,5,18,3100
-14,5,19,3500
-14,5,20,3500
-14,6,7,112800
-14,6,9,15600
-14,6,11,6300
-14,6,13,3800
-14,6,15,3200
-14,6,17,3800
-14,6,19,4300
-14,7,8,123800
-14,7,9,32800
-14,7,10,16000
-14,7,11,9700
-14,7,12,7100
-14,7,13,5200
-14,7,15,4600
-14,7,16,4400
-14,7,17,4800
-14,7,18,4900
-14,7,19,6000
-14,7,20,6100
-14,8,9,152900
-14,8,11,17600
-14,8,13,7100
-14,8,15,5800
-14,8,17,6600
-14,8,19,8000
-14,9,10,160400
-14,9,11,42800
-14,9,12,18800
-14,9,13,12100
-14,9,14,8100
-14,9,15,8500
-14,9,16,9500
-14,9,17,10200
-14,9,18,10300
-14,9,19,10000
-14,9,20,11900
-14,10,11,161800
-14,10,13,20500
-14,10,15,14300
-14,10,17,14300
-14,10,19,18800
-14,11,12,176500
-14,11,13,50100
-14,11,14,23300
-14,11,15,22600
-14,11,16,22900
-14,11,17,26800
-14,11,18,26400
-14,11,19,30300
-14,11,20,29400
-14,12,13,191100
-14,12,15,59100
-14,12,17,61400
-14,12,19,68300
-14,13,14,206400
-14,13,15,208500
-14,13,16,230600
-14,13,17,247400
-14,13,18,261800
-14,13,19,284200
-14,13,20,294900
-14,14,15,220100
-14,14,17,240200
-14,14,19,283300
-14,15,16,233300
-14,15,17,243800
-14,15,18,266700
-14,15,19,273200
-14,15,20,284500
-14,16,17,257400
-14,16,19,67900
-14,17,18,246900
-14,17,19,72900
-14,17,20,30700
-14,18,19,268100
-14,19,20,313300
-13,1,2,56700
-13,1,3,17500
-13,1,4,8400
-13,1,5,5100
-13,1,6,3500
-13,1,7,2700
-13,1,8,2400
-13,1,9,1900
-13,1,10,1600
-13,1,11,1500
-13,1,12,1300
-13,1,13,1200
-13,1,14,1300
-13,1,15,1400
-13,1,16,1800
-13,1,17,1600
-13,1,18,1600
-13,1,19,1800
-13,1,20,1900
-13,2,3,67200
-13,2,4,17300
-13,2,5,8500
-13,2,6,5500
-13,2,7,4100
-13,2,8,3100
-13,2,9,2700
-13,2,10,2000
-13,2,11,1800
-13,2,12,1500
-13,2,13,1400
-13,2,14,1500
-13,2,15,1500
-13,2,16,1900
-13,2,17,1900
-13,2,18,2000
-13,2,19,2100
-13,2,20,2200
-13,3,4,73200
-13,3,5,19800
-13,3,6,10500
-13,3,7,6600
-13,3,8,4200
-13,3,9,3500
-13,3,10,2800
-13,3,11,2300
-13,3,12,1800
-13,3,13,1700
-13,3,14,1900
-13,3,15,2100
-13,3,16,2300
-13,3,17,2200
-13,3,18,2300
-13,3,19,2400
-13,3,20,2800
-13,4,5,85700
-13,4,6,23200
-13,4,7,11000
-13,4,8,6900
-13,4,9,4800
-13,4,10,3700
-13,4,11,2900
-13,4,12,2700
-13,4,13,2000
-13,4,14,2500
-13,4,15,2300
-13,4,16,2600
-13,4,17,2600
-13,4,18,2900
-13,4,19,3200
-13,4,20,3600
-13,5,6,95100
-13,5,7,25500
-13,5,8,12600
-13,5,9,8500
-13,5,10,5300
-13,5,11,4100
-13,5,12,3300
-13,5,13,2300
-13,5,14,2800
-13,5,15,3100
-13,5,16,3300
-13,5,17,3600
-13,5,18,3800
-13,5,19,4000
-13,5,20,4300
-13,6,7,102900
-13,6,8,29800
-13,6,9,13000
-13,6,10,7900
-13,6,11,5800
-13,6,12,4500
-13,6,13,3500
-13,6,14,4100
-13,6,15,4000
-13,6,16,4300
-13,6,17,4900
-13,6,18,4700
-13,6,19,5200
-13,6,20,5600
-13,7,8,112200
-13,7,9,32000
-13,7,10,13500
-13,7,11,9300
-13,7,12,6000
-13,7,13,4400
-13,7,14,4700
-13,7,15,5700
-13,7,16,5600
-13,7,17,6100
-13,7,18,6500
-13,7,19,6800
-13,7,20,7500
-13,8,9,130800
-13,8,10,32200
-13,8,11,17000
-13,8,12,9900
-13,8,13,6700
-13,8,14,6800
-13,8,15,8600
-13,8,16,7800
-13,8,17,8400
-13,8,18,10000
